,Concept,Occurence,Frequency,Mean,Median,Sdev
189,ah,[48],1,0.09815950920245399,0.09815950920245399,0.0
190,sublunary material,[48],1,0.09815950920245399,0.09815950920245399,0.0
191,andalusian astronomer ibn bajjah,[48],1,0.09815950920245399,0.09815950920245399,0.0
192,conjunction,[48],1,0.09815950920245399,0.09815950920245399,0.0
193,night sky,[ 49 268 388],3,0.48057259713701433,0.5480572597137015,0.287013422475141
194,tycho brahe,[49],1,0.10020449897750511,0.10020449897750511,0.0
195,european astronomer,[49],1,0.10020449897750511,0.10020449897750511,0.0
196,nova,[ 49 427 429],3,0.6169052488070893,0.8732106339468303,0.36536641940114584
197,idea,[50 51 52],3,0.10429447852760736,0.10429447852760736,0.001669727159361403
198,even earth-like,[50],1,0.10224948875255624,0.10224948875255624,0.0
199,epicurus,[50],1,0.10224948875255624,0.10224948875255624,0.0
200,medieval islamic cosmologist,[50],1,0.10224948875255624,0.10224948875255624,0.0
201,giordano bruno,[50],1,0.10224948875255624,0.10224948875255624,0.0
202,fakhr,[50],1,0.10224948875255624,0.10224948875255624,0.0
203,orbit,[50 74],2,0.12678936605316973,0.12678936605316973,0.024539877300613498
204,democritus,[50],1,0.10224948875255624,0.10224948875255624,0.0
205,other planet,[50],1,0.10224948875255624,0.10224948875255624,0.0
206,al-din al-razi,[50],1,0.10224948875255624,0.10224948875255624,0.0
207,greek philosopher,[50],1,0.10224948875255624,0.10224948875255624,0.0
208,following century,[51],1,0.10429447852760736,0.10429447852760736,0.0
209,consensus,[51],1,0.10429447852760736,0.10429447852760736,0.0
210,direction,[52 56 57],3,0.11247443762781185,0.11451942740286299,0.004417682821000587
211,gravitational pull,[52],1,0.10633946830265849,0.10633946830265849,0.0
212,isaac newton,[52],1,0.10633946830265849,0.10633946830265849,0.0
213,theologian richard bentley,[52],1,0.10633946830265849,0.10633946830265849,0.0
214,solar system,[52],1,0.10633946830265849,0.10633946830265849,0.0
215,variation,[ 53 381 414],3,0.578050443081118,0.7791411042944786,0.33324480293290765
216,italian astronomer geminiano montanari,[53],1,0.1083844580777096,0.1083844580777096,0.0
217,star algol,[53],1,0.1083844580777096,0.1083844580777096,0.0
218,edmond halley,[54],1,0.11042944785276074,0.11042944785276074,0.0
219,proper motion,[ 54  69 278 280 283],5,0.3942740286298569,0.5685071574642127,0.21947380569280225
220,pair,[54],1,0.11042944785276074,0.11042944785276074,0.0
221,first measurement,[54 80],2,0.13701431492842536,0.13701431492842536,0.026584867075664622
222,greek astronomer ptolemy,[54],1,0.11042944785276074,0.11042944785276074,0.0
223,distribution,[55],1,0.11247443762781185,0.11247443762781185,0.0
224,william herschel,[55 59],2,0.1165644171779141,0.1165644171779141,0.00408997955010225
225,first astronomer,[55],1,0.11247443762781185,0.11247443762781185,0.0
226,line,[56],1,0.11451942740286299,0.11451942740286299,0.0
227,series,[ 56 108 196],3,0.24539877300613497,0.22085889570552147,0.11816195599193156
228,gauge,[56],1,0.11451942740286299,0.11451942740286299,0.0
229,sight,[56 59],2,0.11758691206543967,0.11758691206543967,0.003067484662576687
